title,price,link,console
"WII CONSOLE, 4 CONTROLLERS/NUNCHUCKS, BALANCE BOARD,",85,https://charlottesville.craigslist.org/vgm/d/charlottesville-wii-console-controllers/7823717789.html,Wii
WORKING PS4 WITH GAMES,175,https://charlottesville.craigslist.org/vgm/d/troy-working-ps4-with-games/7823593797.html,PS4
META QUEST 2 WITH BATTERY HEADSET AND CHARGING STATION,200,https://charlottesville.craigslist.org/vgm/d/charlottesville-meta-quest-with-battery/7823586933.html,VR
PS5 SLIM 1TB,600,https://charlottesville.craigslist.org/vgm/d/charlottesville-ps5-slim-1tb/7823477508.html,PS5
HTC VIVE VR HEADSET & TRIPOD TOWERS,150,https://charlottesville.craigslist.org/vgm/d/charlottesville-htc-vive-vr-headset/7823219801.html,VR
"XBOX ONE X 1 TB, 2 CONTROLLERS, EXT HDD 1TB, 7 GAMES",250,https://charlottesville.craigslist.org/vgm/d/louisa-xbox-one-1-tb-controllers-ext/7821204905.html,Xbox
PS4 W/5 GAMES & PS3 W/8 GAMES,200,https://charlottesville.craigslist.org/vgm/d/charlottesville-ps4-5-games-ps3-8-games/7820066109.html,PS4
PS4 +GAMES FOR SALE,150,https://charlottesville.craigslist.org/vgm/d/charlottesville-ps4-games-for-sale/7813642487.html,PS4
XBOX ONE WITH CONTROLLER IN BOX. LIKE NEW DISC GAMES AVAIALABLE.,159,https://charlottesville.craigslist.org/vgm/d/charlottesville-xbox-one-with/7811887231.html,Xbox
XBOX ONE WITH CONTROLLER IN BOX. LIKE NEW DISC GAMES AVAIALABLE.,159,https://charlottesville.craigslist.org/vgm/d/charlottesville-xbox-one-with/7811889134.html,Xbox
USED PS5,400,https://charlottesville.craigslist.org/vgm/d/quinque-used-ps5/7807207395.html,PS5
